,position,height,weight,hall_fame,games_played,Goal,assist,points,points_per_game,bmi,range_points
0,R,73,190,Y,1129,498,601,1099,0.9734278122232064,25.064740101332333,range_c
1,R,73,184,Y,59,7,18,25,0.423728813559322,24.273221992869207,range_d
2,L,76,225,Y,1639,640,698,1338,0.8163514338010982,27.384868421052634,range_c
3,R,72,180,Y,76,15,29,44,0.5789473684210527,24.409722222222225,range_d
4,L,72,215,Y,567,244,348,592,1.0440917107583774,29.15605709876543,range_c
5,L,72,195,Y,903,420,463,883,0.9778516057585825,26.44386574074074,range_c
6,C,75,205,Y,70,25,51,76,1.0857142857142856,25.620444444444445,range_c
7,D,76,220,Y,1270,240,537,777,0.6118110236220472,26.77631578947368,range_d
8,R,72,186,Y,752,573,553,1126,1.497340425531915,25.22337962962963,range_b
9,D,72,223,Y,1612,410,1169,1579,0.9795285359801489,30.240933641975307,range_c
10,C,72,195,Y,240,60,136,196,0.8166666666666667,26.44386574074074,range_c
11,L,69,166,Y,68,10,15,25,0.36764705882352944,24.51123713505566,range_e
12,C,71,186,Y,1318,260,403,663,0.5030349013657056,25.938901011704026,range_d
13,D,72,191,Y,1651,185,763,948,0.5741974560872198,25.9014274691358,range_d
14,R,70,185,Y,1232,608,592,1200,0.974025974025974,26.541836734693877,range_c
15,C,70,185,Y,1068,343,821,1164,1.0898876404494382,26.541836734693877,range_c
16,D,72,205,Y,1409,396,1135,1531,1.0865862313697658,27.79996141975309,range_c
17,R,67,178,Y,562,276,287,563,1.001779359430605,27.875696146135,range_c
18,C,69,190,Y,1348,731,1040,1771,1.3137982195845697,28.0550304557866,range_b
19,C,73,205,Y,823,516,591,1107,1.345078979343864,27.043535372490147,range_b
20,C,74,207,Y,1248,483,696,1179,0.9447115384615384,26.574324324324326,range_c
21,D,73,215,Y,546,36,192,228,0.4175824175824176,28.36273221992869,range_d
22,C,72,178,Y,1000,369,761,1130,1.13,24.138503086419753,range_c
23,D,70,180,Y,246,5,49,54,0.21951219512195122,25.82448979591837,range_e
24,D,73,195,Y,196,8,45,53,0.27040816326530615,25.724338525051607,range_e
25,C,75,200,Y,1731,549,1249,1798,1.0387059503177354,24.995555555555555,range_c
26,L,74,200,Y,1160,239,262,501,0.43189655172413793,25.675675675675674,range_d
27,R,72,190,Y,1432,708,627,1335,0.9322625698324022,25.76581790123457,range_c
28,R,69,180,Y,544,235,351,586,1.0772058823529411,26.578449905482042,range_c
29,L,75,215,Y,958,319,378,697,0.7275574112734864,26.87022222222222,range_d
30,C,71,177,Y,1474,450,964,1414,0.9592944369063772,24.683792898234476,range_c
31,L,73,195,Y,1089,548,605,1153,1.058769513314968,25.724338525051607,range_c
32,D,74,180,Y,222,12,67,79,0.35585585585585583,23.10810810810811,range_e
33,C,72,185,Y,1487,894,1963,2857,1.921318090114324,25.087770061728396,range_a
34,C,71,196,Y,1188,518,891,1409,1.186026936026936,27.333465582225745,range_c
35,D,70,185,Y,1495,338,894,1232,0.8240802675585285,26.541836734693877,range_c
36,R,72,205,Y,143,38,55,93,0.6503496503496503,27.79996141975309,range_d
37,D,71,185,Y,929,197,545,742,0.798708288482239,25.799444554651853,range_d
38,R,71,205,Y,1269,741,650,1391,1.0961386918833727,28.5885736956953,range_c
39,L,70,195,Y,183,100,106,206,1.1256830601092895,27.976530612244897,range_c
40,L,71,188,Y,132,30,50,80,0.6060606060606061,26.217813925808372,range_d
41,C,67,160,Y,315,54,150,204,0.6476190476190476,25.05680552461573,range_d
42,C,69,165,Y,610,165,272,437,0.7163934426229508,24.363579080025207,range_d
43,R,73,195,Y,1251,601,797,1398,1.1175059952038369,25.724338525051607,range_c
44,R,72,185,Y,1126,560,793,1353,1.2015985790408525,25.087770061728396,range_b
45,C,70,182,Y,865,468,545,1013,1.1710982658959537,26.111428571428572,range_c
46,D,75,218,Y,994,51,278,329,0.33098591549295775,27.245155555555556,range_e
47,C,71,170,Y,921,169,475,644,0.6992399565689468,23.70759769886927,range_d
48,D,72,205,Y,878,171,451,622,0.7084282460136674,27.79996141975309,range_d
49,C,70,176,Y,640,283,387,670,1.046875,25.250612244897958,range_c
50,D,72,190,Y,1205,247,781,1028,0.8531120331950207,25.76581790123457,range_c
51,C,76,230,Y,915,690,1033,1723,1.8830601092896175,27.99342105263158,range_a
52,D,74,200,Y,1254,84,347,431,0.3437001594896332,25.675675675675674,range_e
53,D,73,204,Y,1416,340,934,1274,0.8997175141242938,26.91161568774629,range_c
54,L,72,205,Y,298,143,199,342,1.1476510067114094,27.79996141975309,range_c
55,R,71,195,Y,424,134,250,384,0.9056603773584906,27.19400912517358,range_c
56,C,70,175,Y,373,108,209,317,0.8498659517426274,25.107142857142854,range_c
57,R,72,185,Y,1111,500,506,1006,0.9054905490549054,25.087770061728396,range_c
58,C,74,211,Y,1756,694,1193,1887,1.0746013667425969,27.08783783783784,range_c
59,C,69,169,Y,623,217,396,613,0.9839486356340289,24.95421130014703,range_c
60,C,75,212,Y,1499,561,813,1374,0.9166110740493663,26.49528888888889,range_c
61,R,69,180,Y,1062,502,561,1063,1.0009416195856873,26.578449905482042,range_c
62,D,73,215,Y,1615,288,929,1217,0.7535603715170278,28.36273221992869,range_d
63,C,74,205,Y,421,122,156,278,0.6603325415676959,26.31756756756757,range_d
64,R,73,218,Y,726,395,299,694,0.9559228650137741,28.758491274160257,range_c
65,C,74,209,Y,1257,564,562,1126,0.8957836117740652,26.83108108108108,range_c
66,C,71,190,Y,1337,341,1079,1420,1.06207928197457,26.496726839912714,range_c
67,D,72,198,Y,407,192,467,659,1.6191646191646192,26.850694444444446,range_a
68,D,72,200,Y,999,199,634,833,0.8338338338338338,27.12191358024691,range_c
69,C,73,180,Y,1191,512,814,1326,1.1133501259445844,23.74554325389379,range_c
70,D,72,205,Y,1060,310,742,1052,0.9924528301886792,27.79996141975309,range_c
71,C,73,175,Y,798,337,561,898,1.1253132832080202,23.08594483017452,range_c
72,R,70,195,Y,1652,577,956,1533,0.9279661016949152,27.976530612244897,range_c
73,D,76,225,Y,1384,208,750,958,0.6921965317919075,27.384868421052634,range_d
74,L,73,215,Y,1431,668,726,1394,0.9741439552760307,28.36273221992869,range_c
75,C,71,195,Y,1378,625,1016,1641,1.190856313497823,27.19400912517358,range_c
76,D,73,193,Y,1148,150,637,787,0.6855400696864111,25.460499155563898,range_d
77,C,70,175,Y,1196,473,865,1338,1.1187290969899666,25.107142857142854,range_c
78,D,75,210,Y,833,84,278,362,0.4345738295318127,26.245333333333335,range_d
79,L,75,220,Y,1524,656,698,1354,0.8884514435695539,27.49511111111111,range_c
80,L,70,180,Y,930,424,393,817,0.878494623655914,25.82448979591837,range_c
81,C,72,190,Y,1096,484,637,1121,1.022810218978102,25.76581790123457,range_c
82,C,73,200,Y,977,450,789,1239,1.2681678607983624,26.383936948770877,range_b
83,D,74,215,Y,1635,196,712,908,0.5553516819571865,27.60135135135135,range_d
84,C,77,231,Y,1346,564,785,1349,1.0022288261515602,27.38961038961039,range_c
85,C,71,195,Y,1279,524,901,1425,1.1141516810007819,27.19400912517358,range_c
86,D,73,187,Y,1024,237,590,827,0.8076171875,24.668981047100768,range_c
87,C,70,187,Y,1514,692,1063,1755,1.1591809775429327,26.828775510204082,range_c
88,R,71,191,Y,702,437,342,779,1.1096866096866096,26.636183296964887,range_c
89,D,73,192,Y,1564,264,878,1142,0.7301790281329923,25.328579470820042,range_d
90,R,72,209,Y,1451,684,773,1457,1.0041350792556858,28.342399691358025,range_c
91,D,73,198,Y,1068,152,619,771,0.7219101123595506,26.12009757928317,range_d
92,C,76,240,Y,760,372,493,865,1.138157894736842,29.210526315789473,range_c
93,D,73,194,Y,1263,172,568,740,0.5859065716547902,25.592418840307747,range_d
94,C,72,205,Y,708,249,636,885,1.25,27.79996141975309,range_b
95,D,78,220,Y,1167,157,541,698,0.598114824335904,25.42077580539119,range_d
96,L,70,185,Y,989,402,587,989,1.0,26.541836734693877,range_c
97,R,71,203,Y,1246,444,713,1157,0.9285714285714286,28.309660781590956,range_c
98,R,73,210,Y,1554,625,675,1300,0.8365508365508365,27.70313379620942,range_c
99,R,73,207,Y,1309,525,609,1134,0.8663101604278075,27.307374741977856,range_c
100,R,68,180,Y,1134,391,642,1033,0.9109347442680776,27.3659169550173,range_c
101,L,73,190,Y,1306,393,648,1041,0.7970903522205207,25.064740101332333,range_d
102,C,74,183,Y,1330,240,830,1070,0.8045112781954887,23.493243243243242,range_c
103,D,72,185,N,52,0,3,3,0.057692307692307696,25.087770061728396,range_e
104,D,73,175,N,155,18,47,65,0.41935483870967744,23.08594483017452,range_d
105,D,73,194,N,4,0,0,0,0.0,25.592418840307747,range_e
106,R,73,185,N,109,19,19,38,0.3486238532110092,24.405141677613063,range_e
107,R,73,180,N,13,0,2,2,0.15384615384615385,23.74554325389379,range_e
108,D,74,185,N,32,6,11,17,0.53125,23.75,range_d
109,D,73,190,N,81,0,1,1,0.012345679012345678,25.064740101332333,range_e
110,L,76,196,N,1056,355,388,743,0.7035984848484849,23.85526315789474,range_d
111,C,70,185,N,8,1,2,3,0.375,26.541836734693877,range_e
112,C,68,170,N,1023,226,358,584,0.570869990224829,25.84558823529412,range_d
113,L,72,200,N,544,84,143,227,0.4172794117647059,27.12191358024691,range_d
114,C,71,182,N,4,0,0,0,0.0,25.381075183495337,range_e
115,D,72,190,N,280,14,66,80,0.2857142857142857,25.76581790123457,range_e
116,R,72,180,N,146,31,30,61,0.4178082191780822,24.409722222222225,range_d
117,L,72,185,N,15,3,3,6,0.4,25.087770061728396,range_e
